id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1061777795705677113,Stunning Penthouse Suite,554517598,Jares',,Austin,41.9093784,-87.7793586,Entire home/apt,262,1,0,,,1,261,0,R24000112800
1062413754791561965,"West Loop PH: Fireplace Deck, Incredible Views",248760412,Cloud9,,West Town,41.8887227,-87.6466284,Entire home/apt,1173,2,33,2025-06-03,1.91,87,311,26,R23000106993
1062420806531938005,WP1s Peaceful rm 1mile to University of Chicago,144167702,Uletta,,Washington Park,41.786923463793414,-87.61537643372613,Private room,46,2,23,2025-05-16,1.49,3,229,16,R24000113109
1062430779075661638,WP1s Serene Pvt Rm 3 near Univ of Chicago,144167702,Uletta,,Washington Park,41.78856,-87.61732,Private room,47,2,19,2025-05-16,1.27,3,222,14,R24000113109
1062437906564029535,Entire 3 bdrm Apt - 15 min to Downtwn Chicago,144167702,Uletta,,Washington Park,41.78725589535208,-87.61517441685974,Entire home/apt,,3,8,2025-05-26,0.52,3,221,5,R24000113109
1062450241649653794,WP2s Entire 4 Bedroom Apt - 1 mile to Chicago Med,45957293,Deidra,,Washington Park,41.78871123246963,-87.61519865393325,Entire home/apt,,3,5,2025-06-08,0.38,6,198,3,R23000109203
1062591404095438367,The Modern Woodlawn 2 Bed 2 Bath,73220175,Fredrick,,Woodlawn,41.77386735836609,-87.60329799740929,Entire home/apt,174,2,47,2025-06-14,2.70,1,324,30,R23000107415
1062711926380162122,Hyde Park UChicago Medical Museums 20% OFF 2BR %4,100179,Kenneth,,Woodlawn,41.78328,-87.60883,Entire home/apt,167,2,8,2025-05-07,0.64,5,52,7,R22000086175
1063003980978335893,"Downtown, Michigan Ave, Grant Park, 2bd/2ba #23",98193524,Jeremy,,Loop,41.86755805865751,-87.62354208640014,Entire home/apt,318,5,45,2025-06-02,2.78,39,118,32,R21000068177
1064008678363431573,Bosworth Living in Wicker Park,30355747,Scott,,West Town,41.90532,-87.66697,Entire home/apt,145,4,30,2025-06-14,1.85,1,64,24,R23000105731
1064031374927761020,Cozy apartment in the heart of Lincoln Park,191746118,Michael,,Lincoln Park,41.9224819,-87.64116489999999,Entire home/apt,222,3,20,2025-06-01,1.30,3,288,17,R24000115186
1064571608786111695,Lovely Two Bedroom Condo w/ Pool,555280036,Joshua,,Near North Side,41.8951123,-87.62663889999999,Entire home/apt,,32,0,,,2,0,0,
1064599372290262557,30 E Huron - River North Condo - 1706 (Pool),555280036,Joshua,,Near North Side,41.8951123,-87.62663889999999,Entire home/apt,,32,0,,,2,0,0,
1064759719148784948,The One & Only 3B w/Balcony & Parking,129579667,Mercedes,,Brighton Park,41.821823268482625,-87.69864088649311,Entire home/apt,258,3,19,2025-06-01,1.57,1,173,19,R23000096690
1064816689299604022,"room with Queen bed, work desk and dresser",482828867,Aminata,,Grand Boulevard,41.815653640559326,-87.61644089837046,Private room,53,1,5,2025-06-06,0.32,2,329,4,R24000112726
1065301825272839221,"First floor Condo in Chicago, Illinois",169375600,Kaitlyn,,East Garfield Park,41.8806,-87.69836,Entire home/apt,239,3,3,2025-06-08,0.20,1,141,2,R23000110049
1065789316113634299,"Blueground | River N, outdoor pool, 1 block to L",107434423,Blueground,,Near North Side,41.8962192,-87.6391831,Entire home/apt,,32,0,,,594,312,0,
1065875872816015181,"Blueground | River N, gym & pool, nr riverwalk & L",107434423,Blueground,,Near North Side,41.8962192,-87.6391831,Entire home/apt,281,32,0,,,594,304,0,
1065897678174863841,"West Loop Retreat: High-End, Walk to Everything",248760412,Cloud9,,Near West Side,41.8767593,-87.6535914,Entire home/apt,474,2,22,2025-05-16,1.30,87,347,11,2929644
1066027257541193902,Luxury Loft Collection COMBO 01/03 | Terrace,464407683,Hubbard Holdings,,Near North Side,41.89538311518768,-87.63233367092742,Entire home/apt,1505,2,9,2025-05-20,0.55,31,63,6,R23000109920
1066063484380313263,Artroom #1,48093605,Jeremiah,,West Town,41.901413619539994,-87.70645601380978,Private room,69,1,23,2025-05-31,1.48,3,345,20,R25000124449
1066584364783394140,120-yr-old landmark with floor-to-ceiling views,554676697,Viceroy Chicago,,Near North Side,41.9024157,-87.6289001,Private room,500,1,4,2024-09-02,0.24,1,112,3,2522874
1066601634179342708,"Blueground | River N, nr L stop, riverwalk & loop",107434423,Blueground,,Near North Side,41.8961498,-87.6398631,Entire home/apt,327,32,0,,,594,298,0,
1066608960717826190,Luxury Designer Penthouse South |Pool| Gold Coast,464407683,Hubbard Holdings,,Near North Side,41.90177,-87.62783,Entire home/apt,672,2,44,2025-06-15,2.72,31,80,31,R24000112806
